p1,p2,temperature1,temperature2,temperature3,humidity1,humidity2,humidity3,p1day1,p1day2,p1day3,p2day1,p2day2,p2day3
12.115,5.615,22.49,39.58,39.78,60.54,25.57,20.36,12.57,12.7,13.135,6.53,5.7,4.235
12.57,6.53,39.58,39.78,38.6,25.57,20.36,19.975,12.7,13.135,14.865,5.7,4.235,4.285
12.7,5.7,39.78,38.6,34.595,20.36,19.975,29.96,13.135,14.865,15.2,4.235,4.285,5.05
13.135,4.235,38.6,34.595,31.29,19.975,29.96,32.37,14.865,15.2,15.67,4.285,5.05,5.43
14.865,4.285,34.595,31.29,25.43,29.96,32.37,51.795,15.2,15.67,14.015,5.05,5.43,5.585
15.2,5.05,31.29,25.43,23.6,32.37,51.795,60.21,15.67,14.015,8.6,5.43,5.585,5.03
15.67,5.43,25.43,23.6,23.42,51.795,60.21,64.11,14.015,8.6,8.47,5.585,5.03,5.5
14.015,5.585,23.6,23.42,36.92,60.21,64.11,25.58,8.6,8.47,6.085,5.03,5.5,3.2
8.6,5.03,23.42,36.92,33.23,64.11,25.58,29.975,8.47,6.085,6.93,5.5,3.2,3.17
8.47,5.5,36.92,33.23,31.79,25.58,29.975,33.25,6.085,6.93,7.4,3.2,3.17,3.5
6.085,3.2,33.23,31.79,28.23,29.975,33.25,41.1,6.93,7.4,7.13,3.17,3.5,3.2
6.93,3.17,31.79,28.23,22.355,33.25,41.1,61.905,7.4,7.13,7.15,3.5,3.2,4.1
7.4,3.5,28.23,22.355,20.93,41.1,61.905,66.58,7.13,7.15,5,3.2,4.1,3.37
7.13,3.2,22.355,20.93,19.29,61.905,66.58,71.96,7.15,5,4.1,4.1,3.37,3.13
7.15,4.1,20.93,19.29,17.47,66.58,71.96,89.7,5,4.1,15,3.37,3.13,12.77
5,3.37,19.29,17.47,17.23,71.96,89.7,89.38,4.1,15,32.07,3.13,12.77,26.6
4.1,3.13,17.47,17.23,17.6,89.7,89.38,86.1,15,32.07,26.23,12.77,26.6,22.6
15,12.77,17.23,17.6,19.84,89.38,86.1,73.455,32.07,26.23,17.365,26.6,22.6,15.665
32.07,26.6,17.6,19.84,15.615,86.1,73.455,92.56,26.23,17.365,7.035,22.6,15.665,3.215
26.23,22.6,19.84,15.615,15.09,73.455,92.56,92.15,17.365,7.035,8.1,15.665,3.215,7.13
17.365,15.665,15.615,15.09,15.23,92.56,92.15,89.87,7.035,8.1,6.3,3.215,7.13,5.35
7.035,3.215,15.09,15.23,15.595,92.15,89.87,84.495,8.1,6.3,6.635,7.13,5.35,5.715
8.1,7.13,15.23,15.595,16.45,89.87,84.495,71.58,6.3,6.635,5.57,5.35,5.715,4.1
6.3,5.35,15.595,16.45,21.92,84.495,71.58,51.72,6.635,5.57,4.7,5.715,4.1,3.43
6.635,5.715,16.45,21.92,26.14,71.58,51.72,42.47,5.57,4.7,4.35,4.1,3.43,3.4
5.57,4.1,21.92,26.14,26.16,51.72,42.47,40.33,4.7,4.35,3.53,3.43,3.4,2.8
4.7,3.43,26.14,26.16,23.635,42.47,40.33,41.08,4.35,3.53,3.765,3.4,2.8,2.8
4.35,3.4,26.16,23.635,18.735,40.33,41.08,60.7,3.53,3.765,4.515,2.8,2.8,3.8
3.53,2.8,23.635,18.735,16.885,41.08,60.7,63.625,3.765,4.515,5.015,2.8,3.8,4.17
3.765,2.8,18.735,16.885,14.61,60.7,63.625,74.41,4.515,5.015,6.2,3.8,4.17,5.4
4.515,3.8,16.885,14.61,14.945,63.625,74.41,75.085,5.015,6.2,9.035,4.17,5.4,7.35
5.015,4.17,14.61,14.945,31.705,74.41,75.085,28.49,6.2,9.035,7.135,5.4,7.35,5.035
6.2,5.4,14.945,31.705,26.68,75.085,28.49,31,9.035,7.135,4.07,7.35,5.035,2.9
9.035,7.35,31.705,26.68,25.785,28.49,31,34.34,7.135,4.07,3.935,5.035,2.9,3.03
16.635,11.565,10.02,9.71,9.19,70.49,71.39,71.13,12.5,11.22,15.1,8.67,7.7,10.63
12.5,8.67,9.71,9.19,9.43,71.39,71.13,67.96,11.22,15.1,22.23,7.7,10.63,13.9
11.22,7.7,9.19,9.43,10.55,71.13,67.96,63.42,15.1,22.23,21.33,10.63,13.9,13.635
15.1,10.63,9.43,10.55,10.125,67.96,63.42,64.43,22.23,21.33,20.4,13.9,13.635,13.6
22.23,13.9,10.55,10.125,9.325,63.42,64.43,66.385,21.33,20.4,23.83,13.635,13.6,15.27
21.33,13.635,10.125,9.325,9.37,64.43,66.385,65.87,20.4,23.83,24.57,13.6,15.27,15.77
20.4,13.6,9.325,9.37,5.61,66.385,65.87,73.9,23.83,24.57,10.53,15.27,15.77,6.275
23.83,15.27,9.37,5.61,5.5,65.87,73.9,62.14,24.57,10.53,11.9,15.77,6.275,7.425
24.57,15.77,5.61,5.5,5.355,73.9,62.14,61.945,10.53,11.9,14.64,6.275,7.425,8.415
10.53,6.275,5.5,5.355,9.98,62.14,61.945,36.91,11.9,14.64,6.135,7.425,8.415,3.335
11.9,7.425,5.355,9.98,9.92,61.945,36.91,42.29,14.64,6.135,20.315,8.415,3.335,12.4
14.64,8.415,9.98,9.92,9.32,36.91,42.29,47.32,6.135,20.315,26.03,3.335,12.4,14.13
6.135,3.335,9.92,9.32,9.1,42.29,47.32,49.06,20.315,26.03,19.03,12.4,14.13,11.5
20.315,12.4,9.32,9.1,8.7,47.32,49.06,50.38,26.03,19.03,8.9,14.13,11.5,5.23
26.03,14.13,9.1,8.7,8.54,49.06,50.38,51.48,19.03,8.9,12.97,11.5,5.23,7.73
19.03,11.5,8.7,8.54,12.685,50.38,51.48,43.23,8.9,12.97,29.985,5.23,7.73,18.285
8.9,5.23,8.54,12.685,15.825,51.48,43.23,36.985,12.97,29.985,7.27,7.73,18.285,4.1
12.97,7.73,12.685,15.825,15.115,43.23,36.985,40.535,29.985,7.27,7.565,18.285,4.1,4.385
29.985,18.285,15.825,15.115,12.13,36.985,40.535,49,7.27,7.565,19.13,4.1,4.385,10.8
7.27,4.1,15.115,12.13,9.895,40.535,49,55.74,7.565,19.13,78,4.385,10.8,40.6
7.565,4.385,12.13,9.895,8.43,49,55.74,59.43,19.13,78,53.2,10.8,40.6,29.55
19.13,10.8,9.895,8.43,7.01,55.74,59.43,62.195,78,53.2,88.85,40.6,29.55,44.58
78,40.6,8.43,7.01,5.91,59.43,62.195,63.39,53.2,88.85,92.46,29.55,44.58,47.81
53.2,29.55,7.01,5.91,16.7,62.195,63.39,38.87,88.85,92.46,66.2,44.58,47.81,47.93
88.85,44.58,5.91,16.7,20.39,63.39,38.87,32.44,92.46,66.2,45.93,47.81,47.93,33.27
92.46,47.81,16.7,20.39,19.38,38.87,32.44,35.92,66.2,45.93,28.65,47.93,33.27,19.32
66.2,47.93,20.39,19.38,13.78,32.44,35.92,48.96,45.93,28.65,111.735,33.27,19.32,54.235
