0,1,2,3,4
0.949,1.017,1.022,0.977,1.086
1.017,1.022,0.977,1.086,1.126
1.022,0.977,1.086,1.126,1.202
0.977,1.086,1.126,1.202,0.905
1.086,1.126,1.202,0.905,0.95
1.126,1.202,0.905,0.95,0.935
1.202,0.905,0.95,0.935,1.349
0.905,0.95,0.935,1.349,1.385
0.95,0.935,1.349,1.385,1.274
0.935,1.349,1.385,1.274,1.335
1.349,1.385,1.274,1.335,1.346
1.385,1.274,1.335,1.346,0.664
1.274,1.335,1.346,0.664,0.635
1.335,1.346,0.664,0.635,0.591
1.346,0.664,0.635,0.591,0.689
0.664,0.635,0.591,0.689,0.696
0.635,0.591,0.689,0.696,0.718
0.591,0.689,0.696,0.718,0.729
0.689,0.696,0.718,0.729,0.706
0.696,0.718,0.729,0.706,0.683
0.718,0.729,0.706,0.683,0.68
0.729,0.706,0.683,0.68,0.573
0.706,0.683,0.68,0.573,0.598
0.683,0.68,0.573,0.598,0.587
0.68,0.573,0.598,0.587,0.759
0.573,0.598,0.587,0.759,0.607
0.598,0.587,0.759,0.607,0.719
0.587,0.759,0.607,0.719,0.745
0.759,0.607,0.719,0.745,0.769
0.607,0.719,0.745,0.769,0.853
0.719,0.745,0.769,0.853,0.753
0.745,0.769,0.853,0.753,0.636
0.769,0.853,0.753,0.636,0.842
0.853,0.753,0.636,0.842,0.856
0.753,0.636,0.842,0.856,0.797
0.636,0.842,0.856,0.797,0.88
0.842,0.856,0.797,0.88,0.887
0.856,0.797,0.88,0.887,0.926
0.797,0.88,0.887,0.926,0.781
0.88,0.887,0.926,0.781,0.967
0.887,0.926,0.781,0.967,1.012
0.926,0.781,0.967,1.012,0.879
0.781,0.967,1.012,0.879,0.881
0.967,1.012,0.879,0.881,1.073
1.012,0.879,0.881,1.073,0.971
0.879,0.881,1.073,0.971,1.173
0.881,1.073,0.971,1.173,1.188
1.073,0.971,1.173,1.188,1.091
0.971,1.173,1.188,1.091,1.265
1.173,1.188,1.091,1.265,1.14
1.188,1.091,1.265,1.14,1.258
1.091,1.265,1.14,1.258,1.18
1.265,1.14,1.258,1.18,1.402
1.14,1.258,1.18,1.402,1.433
1.258,1.18,1.402,1.433,1.461
1.18,1.402,1.433,1.461,1.04
1.402,1.433,1.461,1.04,1.476
1.433,1.461,1.04,1.476,1.576
1.461,1.04,1.476,1.576,1.519
1.04,1.476,1.576,1.519,1.383
1.476,1.576,1.519,1.383,1.023
1.576,1.519,1.383,1.023,0.873
1.519,1.383,1.023,0.873,1.079
1.383,1.023,0.873,1.079,0.79
1.023,0.873,1.079,0.79,1.014
0.873,1.079,0.79,1.014,0.731
1.079,0.79,1.014,0.731,0.706
0.79,1.014,0.731,0.706,0.69
1.014,0.731,0.706,0.69,0.724
0.731,0.706,0.69,0.724,0.693
0.706,0.69,0.724,0.693,0.87
0.69,0.724,0.693,0.87,0.802
0.724,0.693,0.87,0.802,0.82
0.693,0.87,0.802,0.82,0.943
0.87,0.802,0.82,0.943,0.888
0.802,0.82,0.943,0.888,0.865
0.82,0.943,0.888,0.865,0.95
0.943,0.888,0.865,0.95,0.658
0.888,0.865,0.95,0.658,0.866
0.865,0.95,0.658,0.866,0.946
0.95,0.658,0.866,0.946,0.99
0.658,0.866,0.946,0.99,0.762
0.866,0.946,0.99,0.762,0.758
0.946,0.99,0.762,0.758,0.98
0.99,0.762,0.758,0.98,0.838
0.762,0.758,0.98,0.838,0.649
0.758,0.98,0.838,0.649,0.999
0.98,0.838,0.649,0.999,0.972
0.838,0.649,0.999,0.972,0.971
0.649,0.999,0.972,0.971,0.911
0.999,0.972,0.971,0.911,1.045
0.972,0.971,0.911,1.045,1.071
0.971,0.911,1.045,1.071,1.095
0.911,1.045,1.071,1.095,1.122
1.045,1.071,1.095,1.122,1.182
0.796,0.933,0.873,0.789,0.912
0.933,0.873,0.789,0.912,0.946
0.873,0.789,0.912,0.946,1.056
0.789,0.912,0.946,1.056,0.986
0.912,0.946,1.056,0.986,1.064
0.946,1.056,0.986,1.064,1.082
1.056,0.986,1.064,1.082,0.974
0.986,1.064,1.082,0.974,0.999
1.064,1.082,0.974,0.999,1.003
1.082,0.974,0.999,1.003,1.031
0.974,0.999,1.003,1.031,1.065
0.999,1.003,1.031,1.065,1.106
1.003,1.031,1.065,1.106,1.266
1.031,1.065,1.106,1.266,1.264
1.065,1.106,1.266,1.264,1.227
1.106,1.266,1.264,1.227,1.067
1.266,1.264,1.227,1.067,1.173
1.264,1.227,1.067,1.173,1.112
1.227,1.067,1.173,1.112,1.187
1.067,1.173,1.112,1.187,0.869
1.173,1.112,1.187,0.869,0.771
1.112,1.187,0.869,0.771,0.588
1.187,0.869,0.771,0.588,0.84
0.869,0.771,0.588,0.84,0.701
0.771,0.588,0.84,0.701,0.686
0.588,0.84,0.701,0.686,0.625
0.84,0.701,0.686,0.625,0.603
0.701,0.686,0.625,0.603,0.604
0.686,0.625,0.603,0.604,0.616
0.625,0.603,0.604,0.616,0.685
0.603,0.604,0.616,0.685,0.686
0.604,0.616,0.685,0.686,0.686
0.616,0.685,0.686,0.686,0.687
0.685,0.686,0.686,0.687,0.69
0.686,0.686,0.687,0.69,0.708
0.686,0.687,0.69,0.708,0.711
0.687,0.69,0.708,0.711,0.698
0.69,0.708,0.711,0.698,0.682
0.708,0.711,0.698,0.682,0.678
0.711,0.698,0.682,0.678,0.666
0.698,0.682,0.678,0.666,0.688
0.682,0.678,0.666,0.688,0.602
0.678,0.666,0.688,0.602,0.611
0.666,0.688,0.602,0.611,0.623
0.688,0.602,0.611,0.623,0.597
0.602,0.611,0.623,0.597,0.634
0.611,0.623,0.597,0.634,0.605
0.623,0.597,0.634,0.605,0.741
0.597,0.634,0.605,0.741,0.69
0.634,0.605,0.741,0.69,0.759
0.605,0.741,0.69,0.759,0.727
0.741,0.69,0.759,0.727,0.757
0.69,0.759,0.727,0.757,0.725
0.759,0.727,0.757,0.725,0.688
0.727,0.757,0.725,0.688,1.0
0.757,0.725,0.688,1.0,0.765
0.725,0.688,1.0,0.765,0.781
0.688,1.0,0.765,0.781,0.768
1.0,0.765,0.781,0.768,0.807
0.765,0.781,0.768,0.807,0.784
0.781,0.768,0.807,0.784,0.709
0.768,0.807,0.784,0.709,0.93
0.807,0.784,0.709,0.93,0.798
0.784,0.709,0.93,0.798,0.835
0.709,0.93,0.798,0.835,0.87
0.93,0.798,0.835,0.87,0.879
0.798,0.835,0.87,0.879,1.019
0.835,0.87,0.879,1.019,1.017
