Date,Cl,Mn,NO3
2019-08-08 10:40:00,0.3,3.0,0.384
2019-01-10 11:35:00,0.18,3.0,0.319
2019-07-11 10:40:00,0.29,4.0,0.262
2020-01-21 11:10:00,0.2,3.0,0.633
2020-02-13 09:45:00,0.25,3.0,0.663
2020-02-18 13:00:00,0.35,3.0,0.612
2020-02-21 12:25:00,0.27,3.0,0.607
2020-11-05 12:40:00,0.24,1.0,0.683
2020-07-15 11:25:00,0.15,4.0,0.419
2020-07-23 10:50:00,0.24,1.0,0.377
2020-05-08 11:40:00,0.25,1.0,0.438
2021-01-14 13:00:00,0.3,1.0,0.373
2021-02-18 12:00:00,0.25,1.0,0.504
2021-02-23 11:40:00,0.31,3.0,0.616
2021-11-05 12:45:00,0.3,2.0,0.786
2019-04-07 11:50:00,0.13,5.0,0.977
2019-04-09 11:25:00,0.26,2.0,1.185
2019-09-10 10:50:00,0.18,3.0,1.411
2019-09-12 11:55:00,0.1,14.0,0.625
2019-12-12 11:10:00,0.18,1.0,0.575
2020-10-03 11:40:00,0.2,3.0,0.656
2020-03-26 10:00:00,0.31,17.0,0.655
2020-07-05 11:10:00,0.25,3.0,0.831
2020-10-06 12:25:00,0.24,1.0,0.997
2020-02-12 11:05:00,0.22,1.0,0.742
2021-01-13 12:10:00,0.17,1.0,0.734
2021-09-02 12:15:00,0.25,1.0,0.845
2021-05-17 11:40:00,0.15,9.0,0.934
2021-03-06 09:20:00,0.2,9.0,0.978
2019-05-08 11:20:00,0.07,2.0,1.086
2019-11-14 11:40:00,0.1,1.0,1.335
2019-11-18 10:40:00,0.23,5.0,1.237
2019-11-22 11:10:00,0.17,5.0,0.752
2020-09-03 10:45:00,0.09,1.0,0.654
2020-02-04 10:45:00,0.14,3.0,0.783
2020-02-06 11:45:00,0.11,4.0,0.868
2020-02-11 11:00:00,0.1,1.0,1.486
2020-11-16 12:45:00,0.11,2.0,1.308
2021-03-02 10:40:00,0.15,1.0,0.815
2021-10-05 11:50:00,0.14,4.0,1.005
2019-02-10 09:45:00,0.19,5.0,1.336
2020-05-02 11:40:00,0.09,6.0,0.717
2020-12-05 10:20:00,0.23,3.0,0.814
2020-03-06 10:10:00,0.2,2.0,0.899
2020-10-20 11:30:00,0.13,3.0,1.524
2020-03-11 10:40:00,0.2,1.0,1.474
2021-02-02 10:10:00,0.22,1.0,0.81
2021-01-04 11:25:00,0.25,1.0,0.857
2019-01-08 11:40:00,0.05,2.0,1.059
2019-04-09 09:55:00,0.15,2.0,1.318
2019-09-10 11:55:00,0.08,3.0,1.41
2019-09-12 12:20:00,0.05,13.0,0.626
2019-12-12 10:30:00,0.05,1.0,0.574
2020-01-16 11:30:00,0.08,2.0,0.695
2020-08-04 12:25:00,0.05,1.0,0.756
2020-07-05 10:10:00,0.08,4.0,0.816
2020-12-05 12:10:00,0.05,1.0,0.83
2020-02-12 11:30:00,0.05,1.0,0.737
2021-09-02 11:35:00,0.05,1.0,0.84
2021-04-03 10:00:00,0.05,1.0,1.089
2021-09-03 12:00:00,0.05,1.0,1.015
2021-03-06 11:50:00,0.05,10.0,0.974
2021-09-06 12:30:00,0.05,1.0,1.024
2019-07-17 12:00:00,0.26,1.0,0.265
2019-09-08 09:40:00,0.32,2.0,0.423
2019-08-13 09:30:00,0.19,2.0,0.471
2019-08-15 09:20:00,0.18,1.0,0.492
2019-09-09 09:40:00,0.22,7.0,0.317
2019-10-22 09:20:00,0.3,4.0,0.337
2019-04-11 11:35:00,0.27,4.0,0.269
2019-11-20 10:10:00,0.27,3.0,0.558
2019-02-12 11:00:00,0.28,7.0,0.598
2019-05-12 10:15:00,0.34,1.0,0.706
